GeneID	GeneName	SRR9624152	SRR9624153	SRR9624154	SRR9624155	SRR9624156	SRR9624157
g2984	--	9545	13733	35682	12816	15203	128967
g2985	--	293	494	1414	297	344	2781
g2986	--	431	498	1656	417	582	4426
g2987	--	129	186	704	96	167	1203
g2988	--	84	83	456	110	135	1074
g2989	--	215	250	1218	153	191	1803
g299	--	499	580	1698	476	553	4780
g2990	--	482	590	1730	401	534	4598
g2991	--	141	145	584	130	197	1771
g2992	--	349	287	938	273	348	2876
g2993	--	443	328	1308	306	452	3121
g2994	--	395	484	1320	395	504	4228
g2995	--	333	355	1100	267	325	2603
g2996	--	1230	1335	4156	1311	1464	12829
g2997	--	341	308	1162	327	425	3204
g2998	--	531	762	2048	906	1044	9200
g2999	--	515	443	1400	451	518	4708
g3	--	52	32	749	27	39	335
g30	--	206	248	596	189	269	2020
g300	--	90	55	392	76	60	641
g3000	--	292	378	1092	315	377	3524
g3001	--	243	288	854	219	258	2159
g3002	--	176	222	664	167	222	1756
g3003	--	275	395	1226	239	265	2563
g3004	--	322	375	1118	211	323	2653
g3005	--	933	883	3012	695	962	8029
g3006	--	791	678	2462	711	902	7483
g3007	--	671	895	2528	496	717	5892
g3008	--	147	276	1048	199	184	1472
g3009	--	399	333	1154	417	529	4483
g301	--	1144	1447	4600	1136	1449	12277
g3010	--	281	329	1178	255	328	2678
g3011	--	78	108	332	121	135	1079
g3012	--	478	516	1464	632	709	6147
g3013	--	144	300	964	139	171	1414
g3014	--	266	277	1108	252	242	2483
g3015	--	437	477	1572	488	551	5023
g3016	--	101	189	720	145	227	1646
g3017	--	77	173	632	57	73	628
g3018	--	814	869	2920	997	1230	10079
g3019	--	693	998	2886	810	897	7610
g302	--	266	316	1090	341	418	3450
g3020	--	117	220	532	115	115	968
g3021	--	701	907	2848	579	833	6399
g3022	--	860	1344	3704	866	1043	8908
g3023	--	443	525	1442	420	630	4919
g3024	--	274	310	990	444	527	4393
g3025	--	121	129	438	104	82	1114
g3026	--	19	6	70	11	7	115
g3027	--	250	347	1002	294	379	3451
g3028	--	534	639	1800	428	491	4283
g3029	--	36	28	218	47	38	399
g303	--	186	266	778	140	188	1648
g3030	--	30	88	188	10	20	160
g3031	--	427	712	1654	434	499	4301
g3032	--	58	72	262	25	22	285
g3033	--	325	222	850	199	242	2365
g3034	--	65	70	203	72	65	616
g3035	--	133	145	454	164	131	1290
g3036	--	123	221	456	120	113	1142
g3037	--	97	110	500	114	127	939
g3038	--	1782	2459	6696	2102	2570	20978
g3039	--	542	720	1988	521	623	5392
g304	--	268	382	1210	302	303	3000
g3040	--	315	336	1100	313	350	2904
g3041	--	242	298	792	203	306	2310
g3042	--	300	342	1024	318	356	3290
