GeneID	GeneName	SRR9624152	SRR9624153	SRR9624154	SRR9624155	SRR9624156	SRR9624157
g343	--	912	1113	3334	878	855	7626
g3430	--	292	387	1392	219	326	2864
g3431	--	188	190	716	156	173	1859
g3432	--	109	125	352	77	106	840
g3433	--	652	770	2712	571	698	6427
g3434	--	562	680	1870	600	763	6318
g3435	--	183	200	570	163	183	1585
g3436	--	294	376	1282	218	256	2160
g3437	--	2482	3068	8884	3846	4557	36962
g3438	--	131	170	514	184	169	1575
g3439	--	846	824	2606	1291	1514	12281
g344	--	1445	2249	6938	1398	1936	15898
g3440	--	818	1107	3204	1244	1450	12229
g3441	--	1273	1845	5392	1964	2349	19193
g3442	--	671	635	1878	444	556	4995
g3443	--	172	169	530	128	166	1251
g3444	--	413	405	1286	255	290	2798
g3445	--	465	562	1646	365	446	4051
g3446	--	8	5	20	2	2	53
g3447	--	134	167	650	162	188	1401
g3448	--	321	441	1418	318	443	3453
g3449	--	84	99	302	137	155	1206
g345	--	159	254	740	155	257	1996
g3450	--	682	844	2368	863	1037	8872
g3451	--	1965	3465	8598	2883	3538	29419
g3452	--	154	184	562	153	194	1684
g3453	--	48	70	214	67	65	492
g3454	--	2706	3765	11170	3656	4402	36361
g3455	--	1721	2404	7184	2422	3009	24787
g3456	--	322	444	1284	362	423	3337
g3457	--	768	1044	3146	672	765	6272
g3458	--	171	234	890	147	195	1637
g3459	--	448	563	1902	573	635	5295
g346	--	1101	1605	9982	731	929	7923
g3460	--	1114	1404	4102	981	1222	9985
g3461	--	669	604	2154	663	798	6376
g3462	--	101	136	440	116	161	1238
g3463	--	1862	2603	6870	1638	2002	17719
g3464	--	236	249	894	295	313	2485
g3465	--	72	191	448	100	93	1051
g3466	--	943	1022	3122	1019	1097	9674
g3467	--	589	813	2638	493	547	4936
g3468	--	361	436	1246	426	521	4822
g3469	--	346	1156	2424	765	905	7682
g347	--	2878	3092	11191	2051	2355	20571
g3470	--	135	165	436	77	124	924
g3471	--	136	209	650	198	229	2004
g3472	--	619	649	1840	592	644	6081
g3473	--	86	105	440	100	131	1255
g3474	--	1294	1580	4710	1470	1634	14164
g3475	--	826	900	2578	690	842	6872
g3476	--	318	303	1018	299	462	3646
g3477	--	333	315	1096	323	481	3839
g3478	--	74	101	452	108	94	846
g3479	--	178	190	762	198	264	2067
g348	--	1077	936	6083	1000	1039	8959
g3480	--	297	445	1703	234	251	2036
g3481	--	576	1241	3936	746	820	7328
g3482	--	156	236	728	210	239	2106
g3483	--	203	278	740	180	176	1719
g3484	--	988	1779	4472	1025	1176	9644
g3485	--	522	834	2126	639	759	6403
g3486	--	92	89	322	91	124	1012
g3487	--	94	84	324	106	89	1011
g3488	--	1341	2666	7682	1155	1318	11384
g3489	--	94	157	556	141	158	1357
g349	--	862	954	2726	910	1092	9277
g3490	--	541	995	3246	647	745	6802
g3491	--	104	260	840	102	172	1260
g3492	--	928	1116	3092	1055	1227	10909
g3493	--	1498	1807	4708	1112	1436	12120
g3494	--	458	618	2064	491	601	5477
g3495	--	636	971	2620	621	776	6486
g3496	--	161	199	792	121	201	1466
g3497	--	253	329	846	293	453	3244
g3498	--	144	225	646	99	125	960
g3499	--	1783	2371	6926	1882	2342	19206
g35	--	443	590	1594	405	556	4305
g350	--	357	526	3012	323	345	3131
g3500	--	2324	3861	11364	2389	2546	21989
g3501	--	343	484	1484	307	309	2700
g3502	--	151	160	656	106	192	1322
g3503	--	387	511	1562	609	672	5847
g3504	--	634	844	2320	764	930	7659
g3505	--	113	226	680	184	148	1604
g3506	--	436	473	1702	477	523	4807
g3507	--	398	372	1192	408	517	4506
g3508	--	105	177	528	109	126	951
g3509	--	172	340	1044	145	186	1503
g351	--	269	226	690	218	246	2342
g3510	--	113	159	442	147	175	1603
g3511	--	684	806	2270	747	975	8056
g3512	--	198	235	696	238	240	2312
g3513	--	136	214	698	172	223	2018
g3514	--	478	519	1946	528	582	5135
g3515	--	244	218	726	244	293	2659
g3516	--	371	544	1498	539	684	5340
g3517	--	1373	2127	6762	1847	1894	18118
g3518	--	292	523	1206	351	362	3823
g3519	--	833	1625	3940	1090	1209	11317
g352	--	2125	2267	6446	1934	2262	19849
g3520	--	869	1020	2898	934	1144	9723
g3521	--	442	560	1584	523	628	5261
g3522	--	4	4	14	0	6	44
g3523	--	141	232	674	189	253	2195
g3524	--	1704	1986	5738	1783	2338	18689
g3525	--	634	709	1844	663	755	6762
g3526	--	643	799	2288	604	727	6581
g3527	--	221	312	1100	189	221	1883
g3528	--	2339	2858	8948	2953	3597	30445
g3529	--	223	365	1142	229	319	2545
g353	--	6566	9599	27100	7006	9266	74271
g3530	--	1507	2127	6234	1415	1653	14502
g3531	--	1327	5701	19040	1224	1507	13050
g3532	--	3055	7032	16568	3293	3890	33353
g3533	--	2969	6767	16070	3241	3801	32703
g3534	--	399	462	1506	399	432	3850
g3535	--	484	789	2706	601	731	6011
g3536	--	292	339	1008	303	345	3100
g3537	--	76	66	250	65	95	749
g3538	--	716	839	2598	680	938	7809
g3539	--	866	1278	4256	908	1053	8745
g354	--	400	614	1474	364	509	3735
g3540	--	371	512	1368	460	570	4499
g3541	--	1879	2958	6998	2463	2963	25046
g3542	--	1012	1753	4390	1256	1378	11515
g3543	--	1094	1818	5118	1466	1718	14482
g3544	--	549	952	2776	605	800	6789
g3545	--	7734	20710	117207	22670	25579	224652
g3546	--	16608	42954	239909	47612	53462	468139
g3547	--	365	607	1478	874	871	7401
g3548	--	200	279	1046	273	288	2734
g3549	--	194	339	976	279	218	2409
g355	--	271	402	1100	266	288	2727
g3550	--	464	796	2440	547	664	5369
g3551	--	235	279	1152	214	305	2582
g3552	--	155	171	530	176	208	1820
g3553	--	742	789	2248	795	875	7535
g3554	--	354	413	1150	319	369	3360
g3555	--	180	248	594	183	185	1898
g3556	--	951	1293	3926	842	914	8186
g3557	--	418	439	1392	442	495	4184
g3558	--	117	162	436	152	158	1527
g3559	--	846	812	2626	805	998	8639
g356	--	276	320	1040	227	317	2602
g3560	--	974	946	2912	925	1078	9426
g3561	--	124	75	342	86	110	1028
g3562	--	622	676	2090	449	637	4826
g3563	--	215	282	766	250	214	2100
g3564	--	513	532	2030	445	551	4806
g3565	--	777	800	2432	681	902	7113
g3566	--	304	352	990	310	396	3121
g3567	--	101	189	542	173	230	1480
g3568	--	226	457	1570	213	269	2389
g3569	--	710	935	2520	568	785	7010
g357	--	145	122	440	96	167	1172
g3570	--	128	108	386	101	136	1020
g3571	--	1373	1752	4586	1657	1877	16354
g3572	--	560	710	1996	500	650	5551
g3573	--	936	1041	3070	831	994	8315
g3574	--	879	987	3396	956	1283	10411
g3575	--	608	745	2784	662	732	6848
g3576	--	87	101	304	61	74	694
g3577	--	265	209	1048	221	259	2222
g3578	--	150	205	618	132	202	1594
g3579	--	158	170	672	161	194	1762
g358	--	187	153	590	134	208	1501
g3580	--	44	47	168	43	30	307
g3581	--	1904	2904	7436	2030	2340	20030
g3582	--	1868	2828	7240	1971	2284	19529
g3583	--	226	186	520	170	182	1859
g3584	--	325	350	1188	341	339	2969
g3585	--	1841	2424	11192	1776	2293	19426
g3586	--	341	423	1296	510	559	4581
g3587	--	89	67	240	70	102	870
g3588	--	183	211	652	194	227	1775
g3589	--	345	427	1702	380	383	3638
g359	--	260	292	864	265	392	2947
g3590	--	171	243	1286	239	234	2404
g3591	--	380	720	2172	379	480	3786
g3592	--	246	515	1404	261	272	2518
g3593	--	394	471	1544	352	368	3346
g3594	--	350	488	1514	389	479	3773
g3595	--	425	529	1486	476	588	4426
g3596	--	351	324	1238	384	362	3266
g3597	--	739	970	2654	735	838	7595
g3598	--	995	1192	3386	1264	1456	12128
g3599	--	203	295	834	278	347	2945
g36	--	414	549	1666	323	335	3229
g360	--	228	234	916	262	273	2122
g3600	--	26	13	72	10	21	181
g3601	--	226	297	1214	167	289	2395
g3602	--	939	1223	3808	1089	1262	10867
g3603	--	140	214	766	197	177	1734
g3604	--	843	718	2082	600	811	6914
g3605	--	295	242	1040	235	254	2502
g3606	--	74	85	410	114	129	1133
g3607	--	58	57	230	43	51	554
g3608	--	654	924	2744	680	894	6884
g3609	--	1192	1490	4306	1028	1295	10457
g361	--	989	1177	3338	1013	1270	10758
g3610	--	1645	2074	6430	1520	1836	15881
g3611	--	142	145	444	106	107	1150
g3612	--	990	1285	3708	1767	2231	18440
g3613	--	269	255	762	269	297	2559
g3614	--	102	88	570	72	124	911
g3615	--	467	349	1084	312	379	3290
g3616	--	65	73	314	54	57	524
g3617	--	1274	1857	5156	1097	1407	12452
g3618	--	203668	169923	552536	160242	191981	1699106
g3619	--	449	736	2282	350	415	3513
g362	--	162	176	560	211	214	2172
g3620	--	181	276	976	162	205	1626
g3621	--	9272	11111	31266	7266	8701	72663
g3622	--	473	613	1726	577	837	6023
g3623	--	618	1019	2760	1034	1277	10190
g3624	--	541	713	2197	375	420	3971
g3625	--	125	199	477	65	69	743
g3626	--	1775	2295	13651	1687	1940	17449
g3627	--	786	1002	6633	726	839	7167
g3628	--	482	548	1814	411	466	3925
g3629	--	125	223	700	300	284	2731
g363	--	243	241	858	312	420	3102
g3630	--	452	532	1680	409	475	4048
g3631	--	139	174	644	101	127	1113
g3632	--	440	560	2310	514	665	5402
g3633	--	1659	1976	5866	1922	2313	19534
g3634	--	107	139	698	126	126	1130
g3635	--	351	366	1404	273	306	2731
g3636	--	607	869	2732	657	770	6439
g3637	--	169	283	830	146	227	1841
g3638	--	104	96	552	89	132	1080
g3639	--	374	723	1898	351	419	3437
g364	--	434	664	1786	399	464	4047
g3640	--	1121	1670	4450	1067	1369	10972
g3641	--	381	534	1450	464	549	4639
g3642	--	431	545	1482	620	685	6334
g3643	--	293	564	1336	381	408	3493
g3644	--	86	192	462	86	100	862
g3645	--	120	270	832	150	161	1372
g3646	--	133	166	544	118	160	1003
g3647	--	2798	3273	9340	2386	3110	25366
g3648	--	1836	2265	6204	1581	2137	17582
g3649	--	230	242	856	204	334	2824
g365	--	135	297	686	140	154	1254
g3650	--	483	590	1990	507	663	5462
g3651	--	478	654	1700	780	896	7532
g3652	--	89	94	294	113	145	1151
g3653	--	113	165	442	111	127	1250
g3654	--	155	379	1080	138	174	1587
g3655	--	259	232	826	246	371	2993
g3656	--	411	630	2990	507	473	4665
g3657	--	440	478	3318	370	534	3702
g3658	--	119	254	1322	127	142	1329
g3659	--	350	483	1850	280	421	3340
g366	--	231	288	816	238	279	2374
g3660	--	519	492	1484	451	561	4588
g3661	--	345	333	1028	291	413	3196
g3662	--	560	728	2182	570	702	5923
g3663	--	654	536	1944	517	666	5123
g3664	--	487	703	2008	447	530	4430
g3665	--	258	268	888	247	344	2412
g3666	--	30	57	138	45	71	480
g3667	--	124	152	544	130	176	1203
g3668	--	556	835	2174	601	669	6057
g3669	--	238	324	944	276	290	2532
g367	--	571	792	2374	358	484	4353
g3670	--	150	119	500	119	138	1318
g3671	--	939	1043	3796	917	1161	9623
g3672	--	424	491	1504	487	617	5126
g3673	--	346	380	1114	419	485	4148
g3674	--	802	1307	3504	644	816	6603
g3675	--	632	796	2420	666	854	6738
g3676	--	532	710	2034	730	854	7469
g3677	--	178	198	618	224	268	2358
g3678	--	184	244	720	218	282	2311
g3679	--	115	131	322	130	164	1493
g368	--	222	342	1018	246	277	3067
g3680	--	37	38	110	16	23	238
g3681	--	2683	3391	10022	3314	3963	33389
g3682	--	500	527	1734	570	674	5831
g3683	--	254	275	1082	336	484	3717
g3684	--	554	952	3558	717	889	7524
g3685	--	329	475	1812	357	375	3519
g3686	--	867	1420	4376	1817	1756	15447
g3687	--	614	1261	3826	629	745	6344
g3688	--	137	241	906	113	103	1253
g3689	--	148	154	518	139	226	1672
g369	--	322	242	914	297	394	3217
g3690	--	366	334	920	321	383	3206
g3691	--	738	1061	2976	722	800	7042
g3692	--	282	367	1082	339	366	3245
g3693	--	275	343	928	351	346	2998
g3694	--	653	834	2244	585	712	6051
g3695	--	2014	3158	8336	2403	2807	24627
g3696	--	380	427	1312	384	499	3712
g3697	--	161	229	880	173	206	1700
g3698	--	985	1128	3702	784	943	8281
g3699	--	291	354	954	234	337	2510
g37	--	59	109	264	86	104	975
g370	--	2355	3296	8994	2791	3192	27904
g3700	--	2776	5462	13502	2939	3555	29411
g3701	--	775	902	2774	860	1038	8712
g3702	--	601	675	2462	613	728	5915
g3703	--	6542	8860	57943	9056	10667	100672
g3704	--	585	552	1826	432	571	5124
g3705	--	899	1067	3092	1394	1542	13247
g3706	--	7194	7285	22966	4751	5814	50381
g3707	--	7194	7285	22966	4751	5814	50381
g3708	--	606	1402	4080	355	473	4209
g3709	--	361	535	1440	443	471	4252
g371	--	566	758	2048	657	721	6503
g3710	--	287	400	1080	369	345	3511
g3711	--	234	267	1024	172	216	1709
g3712	--	132	133	532	96	125	1014
g3713	--	2102	2944	8362	2192	2533	21985
g3714	--	2866	4124	10798	5416	6264	54534
g3715	--	962	974	2924	849	981	8647
g3716	--	498	594	1802	600	730	5828
g3717	--	777	1080	2590	1001	1136	9552
g3718	--	139	148	584	205	214	1713
g3719	--	317	453	1316	437	442	3749
g372	--	482	484	1392	488	599	5060
g3720	--	104	225	806	153	164	1459
g3721	--	1657	2882	7796	3111	3040	27858
g3722	--	424	468	1376	477	549	4715
g3723	--	1991	2437	6714	2619	3082	26322
g3724	--	485	609	1512	526	721	5429
g3725	--	707	1036	3800	796	844	8046
g3726	--	903	1210	3636	1247	1154	10395
g3727	--	319	311	878	308	347	3334
g3728	--	141	181	1070	162	171	1484
g3729	--	119	149	782	104	134	1248
g373	--	329	418	1650	289	320	3104
g3730	--	8	20	100	18	15	190
g3731	--	556	653	4249	466	474	4229
g3732	--	360	375	1594	315	352	3245
g3733	--	288	255	1274	187	241	1901
g3734	--	552	828	7914	455	522	4994
g3735	--	33	52	170	47	37	348
g3736	--	126	103	617	73	100	799
g3737	--	10	14	53	1	10	52
g3738	--	81	105	1587	61	100	759
g3739	--	461	509	1388	400	461	4123
g374	--	531	496	1680	471	583	5298
g3740	--	69	110	865	68	49	580
g3741	--	266	285	1081	228	234	2297
g3742	--	190	191	1171	144	233	1459
g3743	--	366	470	3978	254	310	2930
g3744	--	309	357	2559	210	231	1871
g3745	--	114	159	432	176	188	1542
g3746	--	521	556	2000	578	674	5782
g3747	--	76	125	510	114	94	1055
g3748	--	406	540	1752	428	512	4171
g3749	--	502	738	2188	683	698	6570
g375	--	686	812	2418	738	894	7286
g3750	--	2634	3671	9466	3986	4552	38746
g3751	--	836	1223	4376	862	1075	9312
g3752	--	224	359	1494	232	283	2480
g3753	--	242	251	964	205	283	2088
g3754	--	814	891	2966	929	1090	8558
g3755	--	140	206	998	170	178	1652
g3756	--	190	160	538	189	156	1690
g3757	--	193	220	690	239	215	2524
g3758	--	506	521	2074	478	635	5068
g3759	--	39	101	174	38	64	408
g376	--	1108	1799	4762	857	1136	8915
g3760	--	238	285	1048	219	274	2458
g3761	--	2720	4652	11884	3298	3950	33006
g3762	--	270	317	998	267	307	2420
g3763	--	64	108	334	107	134	971
g3764	--	48	48	130	55	43	423
g3765	--	1309	2318	7782	1365	1589	14388
g3766	--	506	765	1988	508	685	5459
g3767	--	985	1342	3568	1082	1176	10017
g3768	--	1050	1439	3784	1159	1225	10430
g3769	--	475	551	1686	604	719	5940
g377	--	8	38	92	5	11	126
g3770	--	386	436	1350	462	618	4729
g3771	--	568	715	2070	810	850	8021
g3772	--	1034	1157	3949	604	683	5417
g3773	--	1296	1162	3878	1322	1653	13168
g3774	--	7388	8007	24621	7152	8602	70728
g3775	--	8087	8025	25944	7600	9086	74085
g3776	--	505	490	2184	326	447	3431
g3777	--	603	495	1668	402	497	3897
g3778	--	652	718	2236	548	633	5321
g3779	--	542	595	2206	548	638	5576
g378	--	482	604	1780	648	824	6852
g3780	--	9066	12610	39488	8823	10309	90177
g3781	--	167	193	904	188	268	2026
g3782	--	236	325	998	334	274	2940
g3783	--	581	829	2648	931	1039	8972
g3784	--	612	689	2484	468	567	5346
g3785	--	555	544	1874	511	632	5149
g3786	--	114	128	456	138	160	1320
g3787	--	244	324	840	299	336	2983
g3788	--	304	308	808	274	357	2635
g3789	--	105	99	338	123	161	1245
g379	--	57	50	286	72	78	674
g3790	--	52	75	194	89	134	911
g3791	--	297	317	1104	350	346	3232
g3792	--	359	305	1196	367	326	2752
g3793	--	198	241	916	157	164	1693
g3794	--	496	499	1674	526	699	5577
g3795	--	757	880	2762	918	1034	8681
g3796	--	205	230	700	208	302	2130
g3797	--	324	365	892	254	303	2835
g3798	--	194	176	588	174	238	1995
g3799	--	117	140	492	151	137	1326
g38	--	135	122	454	121	102	1141
g380	--	1668	1323	4458	1230	1682	13630
g3800	--	269	325	1518	342	343	3181
g3801	--	1557	2660	7056	1486	2526	16481
g3802	--	600	973	3380	506	750	5817
g3803	--	322	493	1358	317	428	3472
g3804	--	368	460	1500	332	416	3434
g3805	--	802	965	2716	856	1007	8499
g3806	--	2836	3268	9336	2050	2613	21191
g3807	--	2873	3296	9464	2075	2646	21511
g3808	--	1074	991	3458	1012	1199	9904
g3809	--	226	192	778	192	246	1975
g381	--	595	808	2272	593	689	5868
g3810	--	408	402	1326	354	461	3680
g3811	--	290	291	950	244	326	2535
g3812	--	402	405	1234	344	510	4082
g3813	--	547	612	1800	535	705	5519
g3814	--	257	314	818	242	266	2254
g3815	--	1063	1378	3936	1271	1404	12154
g3816	--	150	198	750	153	221	1752
g3817	--	26	20	87	12	30	182
g3818	--	863	598	2214	764	913	7675
g3819	--	183	185	528	152	163	1176
g382	--	120	163	504	121	131	1159
g3820	--	199	279	1154	290	326	2372
g3821	--	2127	2503	7438	2486	3223	24843
g3822	--	2399	3226	9172	3008	3644	29499
g3823	--	1670	1993	6526	1485	2000	16011
g3824	--	90	93	414	83	120	988
g3825	--	243	353	1292	304	472	3500
g3826	--	233	215	686	214	301	2290
g3827	--	216	179	590	153	264	1722
g3828	--	82	98	358	74	90	758
g3829	--	71	106	296	75	86	800
g383	--	166	238	874	187	209	1957
g3830	--	767	1194	3374	459	711	5363
g3831	--	847	1033	3142	956	1251	10096
g3832	--	69	87	466	82	82	744
g3833	--	142	263	934	158	196	1605
g3834	--	1056	1244	3690	1077	1418	11228
g3835	--	1160	1234	3674	1066	1415	11260
g3836	--	126	123	414	89	148	1018
g3837	--	221	290	974	217	282	2456
g3838	--	2185	2242	6648	1759	2339	18806
g3839	--	1606	1568	5108	1856	2337	19661
g384	--	16	22	40	4	16	142
g3840	--	283	249	922	201	257	2337
g3841	--	195	423	1076	131	155	1271
g3842	--	1000	1436	4078	1138	1240	10831
g3843	--	196	183	640	196	235	2124
g3844	--	578	563	1824	528	689	5721
g3845	--	100	94	412	158	173	1433
g3846	--	405	727	2554	485	569	5136
g3847	--	1073	1253	3910	911	1175	9964
g3848	--	392	542	1862	432	537	4574
g3849	--	389	323	938	260	316	2561
g385	--	255	287	992	225	266	2466
g3850	--	192	224	2773	106	152	937
g3851	--	237	229	2247	169	196	1758
g3852	--	37	42	189	30	41	373
g3853	--	685	662	6583	470	502	4505
g3854	--	57	58	194	40	37	407
g3855	--	717	912	3516	816	974	8276
g3856	--	123	137	572	165	179	1474
g3857	--	398	472	1488	356	508	3656
g3858	--	611	669	2342	673	803	6923
g3859	--	7221	8146	25426	6254	7592	64812
g386	--	290	295	1122	344	344	3009
g3860	--	929	1085	2978	916	1101	8977
g3861	--	1942	2218	6474	1416	1901	15826
g3862	--	78	118	354	77	122	831
g3863	--	681	946	2780	496	670	5546
g3864	--	8	25	100	12	7	88
g3865	--	230	297	948	248	314	2709
g3866	--	547	568	1638	540	620	5569
g3867	--	192	214	1122	173	196	1591
g3868	--	209	167	702	189	190	1693
g3869	--	412	443	1276	332	399	3635
g387	--	353	327	1100	322	401	3399
g3870	--	659	853	4698	667	765	7702
g3871	--	1407	1733	4282	1664	2123	18071
g3872	--	248	381	1022	276	331	2854
g3873	--	2686	2846	13829	2971	3889	31469
g3874	--	563	761	2776	607	785	7284
g3875	--	657	834	4672	635	777	7594
g3876	--	324	465	1764	428	522	4447
g3877	--	181	388	905	287	316	2746
g3878	--	386	622	1650	501	600	4511
g3879	--	326	323	1306	263	399	3299
g388	--	1341	1554	4998	1011	1378	11100
g3880	--	128	207	928	140	140	1305
g3881	--	459	373	1618	340	389	3382
g3882	--	751	891	2576	693	847	7140
g3883	--	1816	2807	8006	2739	3317	28374
g3884	--	151	225	774	163	222	1868
g3885	--	737	786	2322	712	889	7709
g3886	--	556	622	1914	596	708	5515
g3887	--	113	218	2149	149	186	1350
g3888	--	11	12	36	6	21	85
g3889	--	24	31	160	14	16	128
g389	--	589	657	2238	495	581	5172
g3890	--	355	525	2398	279	392	3281
g3891	--	309	501	1818	532	599	4817
g3892	--	598	858	2304	773	899	7733
g3893	--	110	121	584	120	162	1366
g3894	--	48	44	196	43	49	496
g3895	--	305	232	928	362	508	3894
g3896	--	265	301	1066	345	396	3469
g3897	--	668	951	2480	690	955	8557
g3898	--	659	819	2444	1049	1427	11635
g3899	--	369	333	958	365	469	3507
g39	--	322	300	1058	208	271	2275
g390	--	682	766	2352	852	996	8423
g3900	--	700	697	2026	538	711	5790
g3901	--	2026	2689	7584	1494	1987	15816
g3902	--	420	386	1182	345	379	3778
g3903	--	185	272	982	143	172	1532
g3904	--	1186	1332	3924	993	1277	10660
g3905	--	134	123	470	120	144	1269
g3906	--	311	362	1280	320	377	2907
g3907	--	700	666	1934	510	654	5540
g3908	--	799	1023	3036	879	1094	8881
g3909	--	24	38	76	16	12	175
g391	--	199	179	638	113	166	1221
g3910	--	39	33	324	22	31	276
g3911	--	33	40	126	26	30	246
g3912	--	126	170	1565	88	136	924
g3913	--	191	282	1007	171	237	1713
g3914	--	260	336	966	202	241	2270
g3915	--	91	60	210	41	48	612
g3916	--	284	392	1100	316	387	3294
g3917	--	293	403	1150	360	457	3581
g3918	--	406	309	966	334	371	3627
g3919	--	57	80	218	26	45	453
g392	--	992	869	2948	918	1049	9670
g3920	--	215	276	1052	266	284	2396
g3921	--	639	788	2764	683	846	7223
g3922	--	150	234	1124	139	193	1363
g3923	--	879	1271	3612	935	1296	10139
g3924	--	467	497	1526	325	512	4072
g3925	--	375	376	1278	301	392	3331
g3926	--	444	500	1764	417	500	4324
g3927	--	465	612	1716	542	729	5803
g3928	--	221	226	594	187	259	1926
g3929	--	1238	1645	4986	1355	1586	13886
g393	--	1547	2379	6406	1659	1927	16535
g3930	--	502	658	1854	366	508	4789
g3931	--	1016	1297	3846	1048	1344	10941
g3932	--	348	706	1752	180	240	1891
g3933	--	2013	3256	8670	1956	2868	22183
g3934	--	234	240	716	313	358	2955
g3935	--	276	561	2246	375	436	3312
g3936	--	396	670	2190	553	625	5022
g3937	--	826	859	2530	896	977	8562
g3938	--	1138	1571	4738	1382	1698	14585
g3939	--	559	612	1860	550	693	5294
g394	--	1109	970	2936	1028	1151	9965
g3940	--	348	442	1214	332	363	3279
g3941	--	120	75	258	60	93	679
g3942	--	119	104	376	100	141	1131
g3943	--	112	143	686	140	194	1472
g3944	--	20	25	98	14	23	185
g3945	--	1234	1403	4106	1195	1449	12047
g3946	--	533	597	2132	526	569	5453
g3947	--	78	113	306	135	135	1146
g3948	--	170	194	696	160	204	1664
g3949	--	765	996	2790	1222	1491	12757
g395	--	82	124	732	83	106	966
g3950	--	191	246	882	203	252	2017
g3951	--	559	539	1658	609	753	6230
g3952	--	519	564	2006	478	689	5487
g3953	--	16	28	60	14	7	127
g3954	--	481	426	1534	458	581	4544
g3955	--	208	224	754	142	221	1633
g3956	--	538	488	1576	382	559	4454
g3957	--	1209	1697	5574	1152	1788	12836
g3958	--	569	576	2008	503	601	4860
g3959	--	511	640	1712	491	590	5379
g396	--	46	57	184	33	57	411
g3960	--	249	239	674	205	254	2315
g3961	--	18	15	76	10	7	130
g3962	--	127	148	388	86	120	990
g3963	--	108	146	369	97	116	851
g3964	--	0	4	9	4	1	10
g3965	--	204	241	2871	182	175	1791
g3966	--	13	9	36	8	14	63
g3967	--	4	0	18	2	2	30
g3968	--	3	5	55	0	7	39
g3969	--	2	2	71	1	12	16
g397	--	591	711	2258	465	690	5625
g3970	--	1	0	6	0	0	0
g3971	--	2	4	32	0	2	21
g3972	--	1	0	3	3	2	6
g3973	--	131	113	399	111	130	1100
g3974	--	73	76	976	110	89	652
g3975	--	0	1	8	3	2	6
g3976	--	0	2	9	0	0	0
g3977	--	0	0	0	0	0	0
g3978	--	23	30	497	26	24	230
g3979	--	8	6	17	4	0	50
g398	--	171	232	756	194	182	1762
g3980	--	12	5	53	6	5	31
g3981	--	9	5	53	6	2	33
g3982	--	0	0	0	0	0	0
g3983	--	2	5	27	0	0	12
g3984	--	18	23	643	25	19	183
g3985	--	0	1	8	0	0	2
g3986	--	2	0	5	0	0	8
g3987	--	0	0	0	0	0	0
g3988	--	43	49	1107	42	34	348
g3989	--	4	2	10	0	0	11
g399	--	220	281	942	307	355	2853
g3990	--	4	2	15	0	0	20
g3991	--	14	17	30	11	15	99
g3992	--	133	199	1901	136	129	1252
g3993	--	6	8	17	0	2	38
g3994	--	5	12	125	5	9	55
g3995	--	0	0	0	0	0	0
g3996	--	0	0	0	0	0	4
g3997	--	9	8	89	8	7	55
g3998	--	2	0	6	1	0	5
g3999	--	0	0	2	1	0	10
g4	--	131	113	404	84	118	900
g40	--	737	784	2378	782	943	8016
g400	--	67	79	248	77	70	612
g4000	--	0	0	0	0	0	0
g4001	--	21	46	299	12	26	207
g4002	--	3	6	26	4	2	16
g4003	--	0	0	3	0	0	7
g4004	--	0	0	14	0	0	2
g4005	--	0	4	2	1	1	10
g4006	--	4	2	30	0	2	28
g4007	--	0	0	0	0	0	0
g4008	--	0	1	31	1	0	6
g4009	--	0	0	1	0	0	0
g401	--	8	14	38	2	4	81
g4010	--	0	0	0	0	0	0
g4011	--	0	1	1	0	0	14
g4012	--	2	2	0	0	2	0
g4013	--	4	6	19	2	1	17
g4014	--	0	2	0	0	0	0
g4015	--	0	5	11	0	2	10
g4016	--	0	0	5	1	1	10
g4017	--	2	1	71	0	0	14
g4018	--	0	0	16	0	1	14
g4019	--	24	43	509	28	37	300
g402	--	109	97	445	105	106	892
g4020	--	0	0	3	0	0	0
g4021	--	4	1	34	4	6	26
g4022	--	0	0	2	0	0	0
g4023	--	1	1	13	1	0	5
g4024	--	0	0	0	0	2	2
g4025	--	3	0	6	0	1	0
g4026	--	0	0	4	1	0	10
g4027	--	7	5	27	7	4	20
g4028	--	4	3	22	3	1	43
g4029	--	4	2	15	4	2	13
g403	--	18	7	196	10	6	70
g4030	--	0	1	13	0	0	7
g4031	--	2	0	2	0	0	3
g4032	--	0	0	0	0	0	0
g4033	--	14	10	268	5	14	84
g4034	--	40	20	76	39	37	339
g4035	--	1	0	9	6	0	4
g4036	--	1	3	23	0	2	4
g4037	--	1	2	14	0	2	7
g4038	--	0	0	0	0	0	0
g4039	--	5	0	0	0	0	0
g404	--	20	12	188	8	8	69
g4040	--	8	4	16	6	2	67
g4041	--	4	3	7	0	3	25
g4042	--	2	4	12	2	2	12
g4043	--	0	0	0	0	0	0
g4044	--	4	0	23	1	1	11
g4045	--	0	0	0	0	0	0
g4046	--	0	0	2	4	1	8
g4047	--	1	15	10	1	0	15
g4048	--	0	3	36	0	6	26
g4049	--	0	0	3	0	0	2
g405	--	55	97	243	52	60	404
g4050	--	0	2	3	0	2	0
g4051	--	0	1	9	0	0	3
g4052	--	27	16	58	26	19	156
g4053	--	3	5	207	11	4	33
g4054	--	2	0	5	0	1	8
g4055	--	4	8	3	1	2	11
g4056	--	1	0	1	0	0	3
g4057	--	0	0	8	1	0	2
g4058	--	2	2	4	2	2	10
g4059	--	0	0	8	0	2	4
g406	--	0	22	1	0	0	9
