,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ID=FBgn0000003,581.6230756369858,0.5052617287913008,0.2935527451577965,1.7211957207884467,0.08521531408705928,0.3991445797720281
ID=FBgn0000008,198.6477461978653,-0.2266372373769699,0.19289746153337461,-1.1749104191179711,0.240030556733968,0.6822452628145382
ID=FBgn0000017,8129.154731282225,-0.2588656526705409,0.24055569654337197,-1.0761152464492467,0.28187571777655696,0.7271515734796875
ID=FBgn0000018,506.8465100857617,-0.04995910898430015,0.13909750083847683,-0.3591661150139125,0.7194708239824699,0.9464854083410208
ID=FBgn0000032,1198.807475842767,-0.07128595194207457,0.15313019658652316,-0.4655251121668604,0.6415554578114102,0.920818357415461
ID=FBgn0000042,103410.94576395229,0.32003958811480937,0.1534859285067288,2.0851396035355703,0.03705663027829745,0.23966617577631802
ID=FBgn0000043,38810.562223679684,0.6541321466391125,0.11317809743840147,5.77967081479817,7.484692788980055e-09,4.224999010367638e-07
ID=FBgn0000044,462.18314962395635,0.5957825464748548,1.1764658784965127,0.5064171918324113,0.612563808250948,0.9126624831458557
ID=FBgn0000046,1585.6789757207473,0.38013526551603793,1.0900456919993646,0.34873333136961704,,
ID=FBgn0000052,2862.880394400287,-0.11995640863923338,0.14734820050471079,-0.8141016193502704,0.41558673828138515,0.8302283741825962
ID=FBgn0000053,2439.8797676606187,0.300037827048336,0.209269805949745,1.4337368245105957,0.151647379362733,0.5486319186464191
ID=FBgn0000057,828.2094711571148,0.015670349641570974,0.12104541362237996,0.12945843359631182,0.8969949133006916,0.9843406428179412
ID=FBgn0000063,481.41777909886014,0.2064860164470977,0.1227748182594074,1.681827099192436,0.09260237224653325,0.4161800420404288
ID=FBgn0000064,9707.010435880653,0.3206628242823503,0.09244062232566867,3.46885185554738,0.0005226875887999658,0.009203377567012243
ID=FBgn0000071,412.2276828627989,2.7355753348306138,0.20373593883393573,13.427063239247,4.197292518127937e-41,3.2222614661668174e-38
ID=FBgn0000077,257.17733850862385,0.008377872830474843,0.16848225964640778,0.049725548838538906,0.9603410966111254,0.9961213361656596
ID=FBgn0000078,168.656128113671,-1.377932413537509,0.3042166794120982,-4.529444000902178,5.913910554270467e-06,0.00018306891663360636
ID=FBgn0000079,313.0168507664604,-1.058802485040057,0.3675042219847664,-2.8810620986116073,0.003963375449982544,0.0465242099839694
ID=FBgn0000083,6847.122033613064,-0.014213568551455362,0.15429534890313706,-0.0921192288199063,0.926603311021066,0.9868505467622256
ID=FBgn0000084,2239.559467867549,-0.15606587148501896,0.2116001932637852,-0.7375507038902559,0.46078752087603203,0.8561311978000353
ID=FBgn0000097,3991.0161663483527,0.013699378454035124,0.1389035038784989,0.09862514674948868,0.9214359031386992,0.9856934921352934
ID=FBgn0000100,30659.98356065219,-0.13360951306054625,0.13519298210461206,-0.9882873428826318,0.32301194243692655,0.7630039021810109
ID=FBgn0000108,120.2435114558182,0.12629843876256835,0.3242690314013321,0.38948658839472977,0.696916229889772,0.9405329147707857
ID=FBgn0000109,164.2574147347585,-0.21489277608085097,0.3035370770822502,-0.7079621973911969,0.47896873323379774,0.8642583578001095
ID=FBgn0000114,1205.9628461785362,1.3134979222906913,1.4410638533323687,0.9114779468330363,,
ID=FBgn0000115,680.0182720987772,0.08706649198101662,0.11547015571919376,0.7540172734567828,0.45083884968957555,0.8522591617762965
ID=FBgn0000116,754.7982643822307,1.3195017310133355,0.25002015398486194,5.277581466865378,1.3090001550239347e-07,5.862429303545888e-06
ID=FBgn0000117,13098.714810448317,0.16785675903850153,0.11882547129525035,1.41263280682827,0.15776371766341946,0.5591653095577429
ID=FBgn0000119,814.1893670859765,-0.07313891573706198,0.1083397878765816,-0.6750882309311911,0.4996197104697975,0.8697390377058937
ID=FBgn0000139,794.2995907848766,-0.4186987448305793,0.11722198987784933,-3.5718447133245435,0.0003544755826762097,0.006719281600506819
ID=FBgn0000140,1166.5981803053248,0.08968274848156704,0.14393635291680815,0.6230722584266226,0.5332370388952492,0.8829076164609817
ID=FBgn0000146,1963.468817754285,0.4816189057493126,0.10416677549239879,4.623536664859681,3.7725202258033886e-06,0.00012429887456434597
ID=FBgn0000147,505.68683573174286,0.4094667247284036,0.13151936520016083,3.113356912156864,0.001849721784164319,0.02577189498553444
ID=FBgn0000150,10114.759688522177,0.33386190078523403,0.12240192576219673,2.727586994291766,0.006379943220941381,0.06672864319777519
ID=FBgn0000152,605.2694405906725,0.11855394791821323,0.1800056512856198,0.6586123661756624,0.5101447198846492,0.8710376292399734
ID=FBgn0000163,1355.7562453005542,-0.09002268857379508,0.17128969515730944,-0.5255581107265083,0.5991952678962975,0.908915643477549
ID=FBgn0000173,1924.621215055636,0.12738546768588113,0.12122060463189427,1.050856560835573,0.29332447376671944,0.7369513390338943
ID=FBgn0000181,16059.800275663603,-0.13887362240827358,0.10736969355156663,-1.2934154677602436,0.19586740324402108,0.6192934875312263
ID=FBgn0000183,3266.342341330287,0.0037180890374381064,0.08448359846643734,0.044009596003598085,0.9648967547753081,0.9961213361656596
ID=FBgn0000212,4046.607829266433,0.1322912555028915,0.12642046059207748,1.0464386451632808,0.2953585582825017,0.7400351344434613
ID=FBgn0000221,239.83562153726857,-0.20326872971541804,0.18841220831211225,-1.0788511611662412,0.2806540835419852,0.7269168014007491
ID=FBgn0000228,962.71945682128,-0.12143172427255218,0.14373064056932205,-0.8448562101411147,0.39819112621198716,0.8194367954960843
ID=FBgn0000229,1111.531068568977,-0.10179026260447056,0.19571950496079557,-0.5200823628940819,0.6030061706194523,0.9093198214489481
ID=FBgn0000239,3111.0241915285865,-0.04795455125249079,0.0974583909958724,-0.4920515387384323,0.6226829097129205,0.9178833905272832
